date,sku,product_name,qty_sold,unit_price,sales_amount,expiry_date
2025-04-12,SKU0001,Nestle Everyday Milk 1L,43,160.27,6865.24,2025-10-10
2025-04-12,SKU0005,Olpers Full Cream Milk 500ml,12,248.34,2956.18,2025-06-16
2025-04-12,SKU0006,Haleeb Fresh Milk 1L,32,216.19,6756.24,2025-06-05
2025-04-12,SKU0007,Haleeb Fresh Milk 500ml,33,181.31,5881.04,2025-08-28
2025-04-12,SKU0008,Nurpur Milk 1L,19,149.39,2942.97,2025-08-23
2025-04-12,SKU0012,Nestle Yogurt 900g,5,72.85,363.01,2025-10-01
2025-04-12,SKU0013,Tarang Dahi 500g,18,121.81,2207.12,2025-07-05
2025-04-12,SKU0014,Tarang Dahi 1kg,4,127.69,501.38,2025-06-22
2025-04-12,SKU0015,Olpers Cheese Slices 200g,20,204.42,3994.99,2025-12-15
2025-04-12,SKU0016,Olpers Cheese Slices 400g,33,232.22,7413.09,2025-10-24
2025-04-12,SKU0017,Nurpur Butter 200g,9,263.73,2346.92,2026-03-04
2025-04-12,SKU0019,Coca Cola Coke 500ml,4,53.14,216.61,2026-04-29
2025-04-12,SKU0021,Coca Cola Coke 2.25L,11,120.16,1285.48,2026-04-11
2025-04-12,SKU0024,Pepsi Pepsi 1.5L,15,140.83,2156.64,2026-07-22
2025-04-12,SKU0025,Pepsi Pepsi 2.25L,39,110.71,4416.78,2026-08-14
2025-04-12,SKU0026,7UP 7UP 250ml,33,143.3,4525.85,2026-05-08
2025-04-12,SKU0028,7UP 7UP 1.5L,32,85.11,2700.11,2026-06-23
2025-04-12,SKU0029,Sprite Sprite 250ml,18,120.31,2079.7,2026-09-09
2025-04-12,SKU0032,Fanta Orange 500ml,36,96.43,3607.19,2026-05-12
2025-04-12,SKU0033,Fanta Orange 1.5L,5,77.25,393.13,2026-04-02
2025-04-12,SKU0035,Shezan Mango Juice 1L,17,133.08,2178.46,2026-01-23
2025-04-12,SKU0037,Nestle Pure Life Water 500ml,9,43.78,380.73,2027-02-11
2025-04-12,SKU0039,Aquafina Water 500ml,18,33.38,625.79,2026-10-03
2025-04-12,SKU0040,Aquafina Water 1.5L,1,46.63,45.15,2026-12-11
2025-04-12,SKU0041,Gourmet Green Tea 25 bags,31,247.17,7519.37,2026-10-23
2025-04-12,SKU0043,Gourmet Green Tea 100 bags,31,300.65,9435.1,2026-07-21
2025-04-12,SKU0044,Lipton Yellow Label Tea 100 bags,22,408.12,8989.9,2026-09-26
2025-04-12,SKU0046,Vital Energy Drink 250ml,40,81.95,3213.87,2027-01-07
2025-04-12,SKU0048,Lays Masala Chips 68g,9,87.27,812.39,2025-11-10
2025-04-12,SKU0052,Kolson Slanty 40g,32,42.2,1292.61,2025-11-24
2025-04-12,SKU0053,Super Crisp Nimko 100g,10,87.85,911.32,2026-02-10
2025-04-12,SKU0054,Super Crisp Nimko 200g,11,81.0,883.81,2025-11-30
2025-04-12,SKU0055,Cheetos Crunchy 48g,4,42.95,174.97,2025-09-25
2025-04-12,SKU0058,Peek Freans Sooper Biscuit Family Pack,12,72.31,853.82,2025-11-19
