client_id,sku,product_name,brand,category,avg_daily_demand,std_demand,coefficient_of_variation,lead_time_days,safety_stock,lead_time_demand,reorder_point,stock_norm,optimal_order_qty,forecast_method,service_level,z_score,last_updated
C001,SKU0075,Bake Parlor Rusk Zeera,Bake Parlor,Bakery,2.21,0.49,0.22,3,1.39,6.63,8.02,10.0,15.48,Prophet,0.95,1.64,2025-12-09
C001,SKU0076,Dawn White Bread Medium,Dawn,Bakery,24.45,7.09,0.29,3,20.21,73.34,93.55,85.56,171.12,Prophet,0.95,1.64,2025-12-09
C001,SKU0067,English Biscuit White Bread Medium,English Biscuit,Bakery,9.06,4.08,0.45,3,11.62,27.17,38.78,31.7,63.39,Prophet,0.95,1.64,2025-12-09
C001,SKU0072,Peek Freans Cake Rusk Chocolate,Peek Freans,Bakery,13.36,4.2,0.31,3,11.95,40.08,52.03,62.43,93.51,Prophet,0.95,1.64,2025-12-09
C001,SKU0071,Peek Freans Cake Rusk Regular,Peek Freans,Bakery,29.88,8.11,0.27,3,23.12,89.64,112.75,135.3,209.15,Prophet,0.95,1.64,2025-12-09
C001,SKU0073,Young's Milk Rusk 300g,Young's,Bakery,4.89,3.43,0.7,3,9.78,14.66,24.44,29.33,34.22,Prophet,0.95,1.64,2025-12-09
C001,SKU0028,7UP 7UP 1.5L,7UP,Beverages,13.56,4.04,0.3,3,11.51,40.68,52.19,62.62,94.91,Prophet,0.95,1.64,2025-12-09
C001,SKU0026,7UP 7UP 250ml,7UP,Beverages,15.52,6.07,0.39,3,17.29,46.57,63.86,76.63,108.66,Prophet,0.95,1.64,2025-12-09
C001,SKU0027,7UP 7UP 500ml,7UP,Beverages,14.16,6.28,0.44,3,17.89,42.49,60.37,72.45,99.14,Prophet,0.95,1.64,2025-12-09
C001,SKU0021,Coca Cola Coke 2.25L,Coca Cola,Beverages,1.5,0.88,0.59,3,2.52,4.49,7.01,10.0,10.47,Prophet,0.95,1.64,2025-12-09
C001,SKU0018,Coca Cola Coke 250ml,Coca Cola,Beverages,6.12,7.16,1.17,3,20.39,18.36,38.75,46.5,42.83,Prophet,0.95,1.64,2025-12-09
C001,SKU0019,Coca Cola Coke 500ml,Coca Cola,Beverages,12.39,3.63,0.29,3,10.33,37.18,47.51,57.02,86.75,Prophet,0.95,1.64,2025-12-09
C001,SKU0033,Fanta Orange 1.5L,Fanta,Beverages,14.88,5.28,0.36,3,15.06,44.64,59.69,71.63,104.15,Prophet,0.95,1.64,2025-12-09
C001,SKU0032,Fanta Orange 500ml,Fanta,Beverages,21.72,5.87,0.27,3,16.71,65.16,81.87,98.24,152.04,Prophet,0.95,1.64,2025-12-09
C001,SKU0043,Gourmet Green Tea 100 bags,Gourmet,Beverages,3.48,1.07,0.31,3,3.06,10.43,13.48,16.18,24.33,Prophet,0.95,1.64,2025-12-09
C001,SKU0041,Gourmet Green Tea 25 bags,Gourmet,Beverages,12.82,3.13,0.24,3,8.91,38.45,47.35,56.83,89.71,Prophet,0.95,1.64,2025-12-09
C001,SKU0044,Lipton Yellow Label Tea 100 bags,Lipton,Beverages,14.14,4.18,0.3,3,11.92,42.42,54.34,65.21,98.98,Prophet,0.95,1.64,2025-12-09
C001,SKU0037,Nestle Pure Life Water 500ml,Nestle,Beverages,3.79,0.98,0.26,3,2.78,11.37,14.15,16.98,26.52,Prophet,0.95,1.64,2025-12-09
C001,SKU0024,Pepsi Pepsi 1.5L,Pepsi,Beverages,2.27,0.63,0.28,3,1.8,6.82,8.63,10.35,15.92,Prophet,0.95,1.64,2025-12-09
C001,SKU0025,Pepsi Pepsi 2.25L,Pepsi,Beverages,27.81,7.28,0.26,3,20.75,83.42,104.17,125.01,194.65,Prophet,0.95,1.64,2025-12-09
C001,SKU0023,Pepsi Pepsi 500ml,Pepsi,Beverages,14.72,3.88,0.26,3,11.05,44.16,55.2,66.25,103.04,Prophet,0.95,1.64,2025-12-09
C001,SKU0035,Shezan Mango Juice 1L,Shezan,Beverages,2.86,1.02,0.36,3,2.91,8.59,11.5,13.8,20.05,Prophet,0.95,1.64,2025-12-09
C001,SKU0031,Sprite Sprite 1.5L,Sprite,Beverages,7.83,2.83,0.36,3,8.05,23.5,31.56,37.87,54.84,Prophet,0.95,1.64,2025-12-09
C001,SKU0029,Sprite Sprite 250ml,Sprite,Beverages,2.59,4.28,1.65,3,12.2,7.77,19.98,23.97,18.14,Prophet,0.95,1.64,2025-12-09
C001,SKU0046,Vital Energy Drink 250ml,Vital,Beverages,10.03,2.43,0.24,3,6.92,30.1,37.02,44.42,70.23,Prophet,0.95,1.64,2025-12-09
C001,SKU0010,Dairy Omung Milk 1L,Dairy Omung,Dairy,10.64,3.11,0.29,3,8.85,31.93,40.78,48.94,74.51,Prophet,0.95,1.64,2025-12-09
C001,SKU0006,Haleeb Fresh Milk 1L,Haleeb,Dairy,20.8,6.46,0.31,3,18.39,62.41,80.81,96.97,145.63,Prophet,0.95,1.64,2025-12-09
C001,SKU0007,Haleeb Fresh Milk 500ml,Haleeb,Dairy,7.56,2.27,0.3,3,6.48,22.69,29.17,35.0,52.94,Prophet,0.95,1.64,2025-12-09
C001,SKU0001,Nestle Everyday Milk 1L,Nestle,Dairy,22.23,6.38,0.29,3,18.17,66.69,84.86,101.83,155.6,Prophet,0.95,1.64,2025-12-09
C001,SKU0002,Nestle Everyday Milk 500ml,Nestle,Dairy,14.33,3.71,0.26,3,10.57,42.98,53.55,64.26,100.29,Prophet,0.95,1.64,2025-12-09
C001,SKU0012,Nestle Yogurt 900g,Nestle,Dairy,10.97,4.05,0.37,3,11.53,32.92,44.45,53.34,76.81,Prophet,0.95,1.64,2025-12-09
C001,SKU0017,Nurpur Butter 200g,Nurpur,Dairy,18.26,6.03,0.33,3,17.19,54.77,71.96,86.35,127.8,Prophet,0.95,1.64,2025-12-09
C001,SKU0008,Nurpur Milk 1L,Nurpur,Dairy,10.84,7.36,0.68,3,20.98,32.53,53.51,64.21,75.89,Prophet,0.95,1.64,2025-12-09
C001,SKU0009,Nurpur Milk 500ml,Nurpur,Dairy,2.57,0.89,0.35,3,2.54,7.7,10.24,12.29,17.96,Prophet,0.95,1.64,2025-12-09
C001,SKU0015,Olpers Cheese Slices 200g,Olpers,Dairy,5.57,2.96,0.53,3,8.45,16.72,25.16,30.19,39.0,Prophet,0.95,1.64,2025-12-09
C001,SKU0005,Olpers Full Cream Milk 500ml,Olpers,Dairy,1.24,0.42,0.34,3,1.2,3.72,4.92,10.0,8.67,Prophet,0.95,1.64,2025-12-09
C001,SKU0014,Tarang Dahi 1kg,Tarang,Dairy,15.08,5.23,0.35,3,14.91,45.23,60.14,72.16,105.53,Prophet,0.95,1.64,2025-12-09
C001,SKU0013,Tarang Dahi 500g,Tarang,Dairy,22.77,8.25,0.36,3,23.5,68.31,91.81,110.17,159.39,Prophet,0.95,1.64,2025-12-09
C001,SKU0153,K&N's Chicken Nuggets 1kg,K&N's,Frozen,17.18,5.87,0.34,3,16.73,51.53,68.26,81.91,120.23,Prophet,0.95,1.64,2025-12-09
C001,SKU0152,K&N's Chicken Nuggets 500g,K&N's,Frozen,20.72,6.37,0.31,3,18.14,62.16,80.3,96.35,145.04,Prophet,0.95,1.64,2025-12-09
C001,SKU0155,K&N's Chicken Patties 12-pack,K&N's,Frozen,4.7,2.47,0.53,3,7.04,14.09,21.14,25.37,32.89,Prophet,0.95,1.64,2025-12-09
C001,SKU0154,K&N's Chicken Seekh Kabab 500g,K&N's,Frozen,46.93,11.41,0.24,3,32.51,140.78,173.29,207.95,328.49,Prophet,0.95,1.64,2025-12-09
C001,SKU0158,Makkhan Paratha 20-pack,Makkhan,Frozen,8.75,2.1,0.24,3,5.99,26.25,32.23,38.68,61.25,Prophet,0.95,1.64,2025-12-09
C001,SKU0157,Menu Plain Paratha 30-pack,Menu,Frozen,26.11,7.06,0.27,3,20.11,78.32,98.42,118.11,182.74,Prophet,0.95,1.64,2025-12-09
C001,SKU0086,Dalda Cooking Oil 1L,Dalda,Grocery,3.08,0.99,0.32,3,2.82,9.24,12.05,14.46,21.55,Prophet,0.95,1.64,2025-12-09
C001,SKU0087,Dalda Cooking Oil 2.5L,Dalda,Grocery,7.63,2.47,0.32,3,7.05,22.9,29.95,35.94,53.44,Prophet,0.95,1.64,2025-12-09
C001,SKU0088,Dalda Cooking Oil 5L,Dalda,Grocery,23.79,7.18,0.3,3,20.46,71.36,91.81,110.18,166.5,Prophet,0.95,1.64,2025-12-09
C001,SKU0091,Eva Cooking Oil 1L,Eva,Grocery,33.64,10.25,0.3,3,29.21,100.93,130.13,156.16,235.49,Prophet,0.95,1.64,2025-12-09
C001,SKU0092,Eva Cooking Oil 5L,Eva,Grocery,33.3,9.3,0.28,3,26.5,99.9,126.4,151.68,233.1,Prophet,0.95,1.64,2025-12-09
C001,SKU0102,Guard Super Basmati 10kg,Guard,Grocery,19.62,5.95,0.3,3,16.94,58.86,75.81,90.97,137.34,Prophet,0.95,1.64,2025-12-09
C001,SKU0090,Habib Banaspati 2.5kg,Habib,Grocery,10.53,3.55,0.34,3,10.1,31.59,41.69,50.03,73.72,Prophet,0.95,1.64,2025-12-09
C001,SKU0103,Mehran Basmati Rice 5kg,Mehran,Grocery,9.5,2.77,0.29,3,7.9,28.5,36.4,43.69,66.51,Prophet,0.95,1.64,2025-12-09
C001,SKU0077,National Biryani Masala 50g,National,Grocery,18.09,4.75,0.26,3,13.54,54.27,67.8,81.36,126.62,Prophet,0.95,1.64,2025-12-09
C001,SKU0079,National Korma Masala 50g,National,Grocery,29.97,8.01,0.27,3,22.82,89.92,112.74,135.29,209.82,Prophet,0.95,1.64,2025-12-09
C001,SKU0080,National Nihari Masala 50g,National,Grocery,11.93,3.67,0.31,3,10.44,35.79,46.24,55.48,83.51,Prophet,0.95,1.64,2025-12-09
C001,SKU0108,National Salt 800g,National,Grocery,25.57,7.56,0.3,3,21.54,76.7,98.24,117.89,178.98,Prophet,0.95,1.64,2025-12-09
C001,SKU0082,Shan Biryani Masala 100g,Shan,Grocery,3.31,3.84,1.16,3,10.94,9.93,20.87,25.05,23.17,Prophet,0.95,1.64,2025-12-09
C001,SKU0081,Shan Biryani Masala 50g,Shan,Grocery,9.07,2.61,0.29,3,7.45,27.2,34.64,41.57,63.46,Prophet,0.95,1.64,2025-12-09
C001,SKU0084,Shan Chicken Karahi 50g,Shan,Grocery,5.3,1.31,0.25,3,3.74,15.9,19.64,23.57,37.09,Prophet,0.95,1.64,2025-12-09
C001,SKU0083,Shan Chicken Tikka 50g,Shan,Grocery,19.81,6.12,0.31,3,17.43,59.44,76.87,92.24,138.69,Prophet,0.95,1.64,2025-12-09
C001,SKU0109,Shan Red Chilli Powder 100g,Shan,Grocery,18.08,5.2,0.29,3,14.82,54.25,69.07,82.88,126.57,Prophet,0.95,1.64,2025-12-09
C001,SKU0104,Shangrila Vermicelli 200g,Shangrila,Grocery,13.63,3.58,0.26,3,10.21,40.88,51.09,61.3,95.39,Prophet,0.95,1.64,2025-12-09
C001,SKU0105,Shangrila Vermicelli 400g,Shangrila,Grocery,23.39,7.12,0.3,3,20.29,70.18,90.47,108.56,163.75,Prophet,0.95,1.64,2025-12-09
C001,SKU0100,Sufi Basmati Rice 10kg,Sufi,Grocery,8.12,6.29,0.77,3,17.91,24.35,42.26,50.71,56.82,Prophet,0.95,1.64,2025-12-09
C001,SKU0093,Tapal Danedar Tea 190g,Tapal,Grocery,5.79,2.39,0.41,3,6.82,17.37,24.19,29.02,40.53,Prophet,0.95,1.64,2025-12-09
C001,SKU0094,Tapal Danedar Tea 475g,Tapal,Grocery,2.88,4.97,1.73,3,14.16,8.64,22.8,27.36,20.16,Prophet,0.95,1.64,2025-12-09
C001,SKU0095,Tapal Danedar Tea 950g,Tapal,Grocery,15.85,5.47,0.35,3,15.59,47.54,63.12,75.75,110.92,Prophet,0.95,1.64,2025-12-09
C001,SKU0098,Vital Tea 475g,Vital,Grocery,1.44,0.61,0.42,3,1.73,4.33,6.06,10.0,10.1,Prophet,0.95,1.64,2025-12-09
C001,SKU0142,Ariel Detergent 3kg,Ariel,Household,15.72,3.84,0.24,3,10.94,47.16,58.1,69.72,110.03,Prophet,0.95,1.64,2025-12-09
C001,SKU0143,Bonus Detergent 1kg,Bonus,Household,6.79,2.26,0.33,3,6.42,20.38,26.8,32.16,47.54,Prophet,0.95,1.64,2025-12-09
C001,SKU0144,Bonus Detergent 3kg,Bonus,Household,21.53,5.39,0.25,3,15.35,64.58,79.93,95.92,150.7,Prophet,0.95,1.64,2025-12-09
C001,SKU0148,Dettol Disinfectant 500ml,Dettol,Household,7.1,2.25,0.32,3,6.4,21.31,27.71,33.25,49.72,Prophet,0.95,1.64,2025-12-09
C001,SKU0146,Harpic Toilet Cleaner 500ml,Harpic,Household,9.74,2.48,0.25,3,7.07,29.21,36.28,43.53,68.16,Prophet,0.95,1.64,2025-12-09
C001,SKU0138,Surf Excel Detergent 1kg,Surf Excel,Household,17.59,4.45,0.25,3,12.66,52.76,65.42,78.51,123.1,Prophet,0.95,1.64,2025-12-09
C001,SKU0139,Surf Excel Detergent 3kg,Surf Excel,Household,13.0,3.68,0.28,3,10.48,39.01,49.49,59.38,91.01,Prophet,0.95,1.64,2025-12-09
C001,SKU0150,Vim Dishwash Bar 250g,Vim,Household,3.15,2.8,0.89,3,7.98,9.44,17.42,20.91,22.03,Prophet,0.95,1.64,2025-12-09
C001,SKU0151,Vim Dishwash Bar 500g,Vim,Household,6.25,3.35,0.54,3,9.55,18.74,28.29,33.95,43.72,Prophet,0.95,1.64,2025-12-09
C001,SKU0145,Wheel Detergent 1kg,Wheel,Household,16.45,4.66,0.28,3,13.28,49.36,62.64,75.17,115.18,Prophet,0.95,1.64,2025-12-09
C001,SKU0131,Clear Shampoo 185ml,Clear,Personal_Care,17.26,4.5,0.26,3,12.83,51.77,64.6,77.52,120.79,Prophet,0.95,1.64,2025-12-09
C001,SKU0132,Clear Shampoo 400ml,Clear,Personal_Care,21.21,7.57,0.36,3,21.57,63.64,85.21,102.25,148.49,Prophet,0.95,1.64,2025-12-09
C001,SKU0136,Close Up Toothpaste 150g,Close Up,Personal_Care,26.02,6.79,0.26,3,19.36,78.06,97.42,116.9,182.15,Prophet,0.95,1.64,2025-12-09
C001,SKU0134,Colgate Toothpaste 150g,Colgate,Personal_Care,10.93,3.48,0.32,3,9.91,32.8,42.71,51.25,76.53,Prophet,0.95,1.64,2025-12-09
C001,SKU0133,Colgate Toothpaste 75g,Colgate,Personal_Care,19.78,5.35,0.27,3,15.23,59.35,74.58,89.5,138.49,Prophet,0.95,1.64,2025-12-09
C001,SKU0118,Dove Beauty Bar 100g,Dove,Personal_Care,4.93,1.88,0.38,3,5.37,14.8,20.17,24.21,34.54,Prophet,0.95,1.64,2025-12-09
C001,SKU0121,Fair & Lovely Cream 50g,Fair & Lovely,Personal_Care,1.61,0.45,0.28,3,1.29,4.84,6.12,10.0,11.29,Prophet,0.95,1.64,2025-12-09
C001,SKU0127,Head & Shoulders Shampoo 185ml,Head & Shoulders,Personal_Care,23.99,6.01,0.25,3,17.12,71.96,89.08,106.89,167.9,Prophet,0.95,1.64,2025-12-09
C001,SKU0128,Head & Shoulders Shampoo 400ml,Head & Shoulders,Personal_Care,7.1,1.94,0.27,3,5.53,21.3,26.83,32.19,49.7,Prophet,0.95,1.64,2025-12-09
C001,SKU0115,Lifebuoy Soap 6-pack,Lifebuoy,Personal_Care,2.03,1.03,0.51,3,2.94,6.1,9.03,10.84,14.23,Prophet,0.95,1.64,2025-12-09
C001,SKU0113,Lux Beauty Soap 6-pack,Lux,Personal_Care,4.24,1.49,0.35,3,4.25,12.73,16.99,20.38,29.71,Prophet,0.95,1.64,2025-12-09
C001,SKU0116,Safeguard Soap 3-pack,Safeguard,Personal_Care,23.47,6.61,0.28,3,18.84,70.4,89.24,107.08,164.27,Prophet,0.95,1.64,2025-12-09
C001,SKU0129,Sunsilk Shampoo 180ml,Sunsilk,Personal_Care,10.56,4.51,0.43,3,12.85,31.68,44.53,53.43,73.92,Prophet,0.95,1.64,2025-12-09
C001,SKU0130,Sunsilk Shampoo 400ml,Sunsilk,Personal_Care,22.16,6.69,0.3,3,19.05,66.49,85.54,102.65,155.14,Prophet,0.95,1.64,2025-12-09
C001,SKU0055,Cheetos Crunchy 48g,Cheetos,Snacks,29.68,7.85,0.26,3,22.37,89.04,111.41,133.69,207.76,Prophet,0.95,1.64,2025-12-09
C001,SKU0061,Jubilee Chocolate Biscuit 90g,Jubilee,Snacks,3.25,1.17,0.36,3,3.33,9.75,13.09,15.71,22.76,Prophet,0.95,1.64,2025-12-09
C001,SKU0062,Jubilee Coconut Biscuit 90g,Jubilee,Snacks,13.16,4.62,0.35,3,13.16,39.48,52.64,63.17,92.12,Prophet,0.95,1.64,2025-12-09
C001,SKU0051,Kolson Slanty 18g,Kolson,Snacks,14.14,3.44,0.24,3,9.81,42.43,52.25,62.7,99.01,Prophet,0.95,1.64,2025-12-09
C001,SKU0052,Kolson Slanty 40g,Kolson,Snacks,17.87,5.75,0.32,3,16.38,53.62,70.0,84.0,125.1,Prophet,0.95,1.64,2025-12-09
C001,SKU0057,Kurkure Chatpata 110g,Kurkure,Snacks,28.61,7.06,0.25,3,20.12,85.84,105.96,127.15,200.3,Prophet,0.95,1.64,2025-12-09
C001,SKU0048,Lays Masala Chips 68g,Lays,Snacks,3.4,2.77,0.82,3,7.9,10.19,18.09,21.7,23.78,Prophet,0.95,1.64,2025-12-09
C001,SKU0049,Lays Masala Chips 90g,Lays,Snacks,18.65,5.38,0.29,3,15.34,55.94,71.27,85.53,130.52,Prophet,0.95,1.64,2025-12-09
C001,SKU0050,Lays Wavy Chips 68g,Lays,Snacks,19.83,5.72,0.29,3,16.3,59.49,75.79,90.95,138.82,Prophet,0.95,1.64,2025-12-09
C001,SKU0060,Peek Freans Chocolate Chip 90g,Peek Freans,Snacks,28.94,7.53,0.26,3,21.45,86.81,108.26,129.91,202.55,Prophet,0.95,1.64,2025-12-09
C001,SKU0058,Peek Freans Sooper Biscuit Family Pack,Peek Freans,Snacks,13.26,4.06,0.31,3,11.58,39.78,51.36,61.63,92.82,Prophet,0.95,1.64,2025-12-09
C001,SKU0059,Peek Freans Sooper Biscuit Half Roll,Peek Freans,Snacks,19.1,5.45,0.29,3,15.53,57.3,72.82,87.39,133.69,Prophet,0.95,1.64,2025-12-09
C001,SKU0065,Rio Wafer 18g,Rio,Snacks,20.66,6.73,0.33,3,19.16,61.98,81.15,97.38,144.63,Prophet,0.95,1.64,2025-12-09
C001,SKU0063,Sooper Cream Biscuit Half Roll,Sooper,Snacks,9.41,2.59,0.28,3,7.39,28.23,35.62,42.74,65.88,Prophet,0.95,1.64,2025-12-09
C001,SKU0054,Super Crisp Nimko 200g,Super Crisp,Snacks,14.24,4.17,0.29,3,11.87,42.72,54.59,65.51,99.67,Prophet,0.95,1.64,2025-12-09
C002,SKU0074,Bake Parlor Rusk Plain,Bake Parlor,Bakery,22.41,5.63,0.25,3,16.04,67.22,83.26,99.91,156.85,Prophet,0.95,1.64,2025-12-09
C002,SKU0076,Dawn White Bread Medium,Dawn,Bakery,6.93,2.14,0.31,3,6.11,20.78,26.89,24.25,48.5,Prophet,0.95,1.64,2025-12-09
C002,SKU0069,English Biscuit Brown Bread Medium,English Biscuit,Bakery,24.8,7.01,0.28,3,19.98,74.41,94.39,86.81,173.62,Prophet,0.95,1.64,2025-12-09
C002,SKU0068,English Biscuit White Bread Large,English Biscuit,Bakery,1.97,1.07,0.54,3,3.04,5.92,8.96,10.0,13.81,Prophet,0.95,1.64,2025-12-09
C002,SKU0067,English Biscuit White Bread Medium,English Biscuit,Bakery,19.26,5.37,0.28,3,15.29,57.77,73.06,67.39,134.79,Prophet,0.95,1.64,2025-12-09
C002,SKU0071,Peek Freans Cake Rusk Regular,Peek Freans,Bakery,19.14,5.17,0.27,3,14.72,57.43,72.15,86.58,133.99,Prophet,0.95,1.64,2025-12-09
C002,SKU0073,Young's Milk Rusk 300g,Young's,Bakery,16.65,4.31,0.26,3,12.28,49.95,62.23,74.68,116.55,Prophet,0.95,1.64,2025-12-09
C002,SKU0028,7UP 7UP 1.5L,7UP,Beverages,9.21,2.88,0.31,3,8.22,27.63,35.85,43.02,64.48,Prophet,0.95,1.64,2025-12-09
C002,SKU0026,7UP 7UP 250ml,7UP,Beverages,11.81,6.67,0.56,3,18.99,35.42,54.42,65.3,82.65,Prophet,0.95,1.64,2025-12-09
C002,SKU0040,Aquafina Water 1.5L,Aquafina,Beverages,8.96,4.72,0.53,3,13.44,26.89,40.33,48.4,62.74,Prophet,0.95,1.64,2025-12-09
C002,SKU0020,Coca Cola Coke 1.5L,Coca Cola,Beverages,17.77,5.78,0.33,3,16.46,53.3,69.77,83.72,124.37,Prophet,0.95,1.64,2025-12-09
C002,SKU0021,Coca Cola Coke 2.25L,Coca Cola,Beverages,15.2,5.5,0.36,3,15.66,45.6,61.27,73.52,106.41,Prophet,0.95,1.64,2025-12-09
C002,SKU0018,Coca Cola Coke 250ml,Coca Cola,Beverages,19.76,5.27,0.27,3,15.01,59.28,74.3,89.16,138.33,Prophet,0.95,1.64,2025-12-09
C002,SKU0019,Coca Cola Coke 500ml,Coca Cola,Beverages,11.29,3.6,0.32,3,10.26,33.88,44.14,52.97,79.05,Prophet,0.95,1.64,2025-12-09
C002,SKU0033,Fanta Orange 1.5L,Fanta,Beverages,18.29,6.09,0.33,3,17.35,54.86,72.22,86.66,128.02,Prophet,0.95,1.64,2025-12-09
C002,SKU0032,Fanta Orange 500ml,Fanta,Beverages,21.44,5.16,0.24,3,14.71,64.31,79.02,94.83,150.06,Prophet,0.95,1.64,2025-12-09
C002,SKU0043,Gourmet Green Tea 100 bags,Gourmet,Beverages,10.14,4.2,0.41,3,11.98,30.43,42.41,50.89,71.01,Prophet,0.95,1.64,2025-12-09
C002,SKU0041,Gourmet Green Tea 25 bags,Gourmet,Beverages,4.34,2.1,0.48,3,5.97,13.01,18.98,22.77,30.35,Prophet,0.95,1.64,2025-12-09
C002,SKU0042,Gourmet Green Tea 50 bags,Gourmet,Beverages,16.12,4.78,0.3,3,13.63,48.35,61.97,74.37,112.81,Prophet,0.95,1.64,2025-12-09
C002,SKU0044,Lipton Yellow Label Tea 100 bags,Lipton,Beverages,26.67,7.97,0.3,3,22.71,80.01,102.72,123.27,186.7,Prophet,0.95,1.64,2025-12-09
